concentration,MP SET1,MP SET2
6.2745098039215685,41808.60784313725,41808.60784313725
6.372549019607844,41782.03921568627,41782.03921568627
6.470588235294118,41755.470588235294,41755.470588235294
6.568627450980392,41728.901960784315,41728.901960784315
6.666666666666667,41702.333333333336,41702.333333333336
6.764705882352941,41675.76470588235,41675.76470588235
6.862745098039216,41649.19607843137,41649.19607843137
6.96078431372549,41622.62745098039,41622.62745098039
7.0588235294117645,41596.05882352941,41596.05882352941
7.156862745098039,41569.490196078434,41569.490196078434
7.254901960784314,41542.92156862745,41542.92156862745
7.352941176470589,41516.35294117647,41516.35294117647
7.450980392156863,41489.78431372549,41489.78431372549
7.549019607843137,41463.21568627451,41463.21568627451
7.647058823529411,41436.64705882353,41436.64705882353
7.745098039215686,41410.078431372545,41410.078431372545
7.843137254901961,41383.509803921566,41383.509803921566
