concentration,Albu SET1
12.450980392156863,49409.0
12.549019607843137,49324.0
12.647058823529411,49239.0
12.745098039215687,49154.0
12.843137254901961,49069.0
12.941176470588236,48984.0
13.03921568627451,48899.0
13.137254901960784,48814.0
13.235294117647058,48729.0
13.333333333333334,48644.0
13.431372549019608,48559.0
13.529411764705882,48474.0
13.627450980392156,48389.0
13.725490196078432,48304.0
13.823529411764707,48219.0
13.92156862745098,48134.0
14.019607843137255,48049.0
14.117647058823529,47964.0
14.215686274509803,47879.0
14.313725490196077,47794.0
14.411764705882353,47709.0
14.509803921568627,47624.0
14.607843137254902,47539.0
14.705882352941178,47454.0
14.803921568627452,47369.0
14.901960784313726,47284.0
15.098039215686274,47111.72549019608
15.196078431372548,47024.450980392154
15.294117647058824,46937.17647058824
15.392156862745098,46849.901960784315
