concentration,Glucu SET1,Glucu SET2
6.372549019607844,55987.43137254902,56487.23529411765
6.470588235294118,55910.17647058824,56415.82352941176
6.568627450980392,55832.921568627455,56344.41176470588
6.666666666666667,55755.666666666664,56273.0
6.764705882352941,55678.41176470588,56201.58823529412
6.862745098039216,55601.1568627451,56130.17647058824
6.96078431372549,55523.901960784315,56058.76470588235
7.0588235294117645,55446.64705882353,55987.35294117647
7.156862745098039,55369.39215686275,55915.94117647059
7.254901960784314,55292.13725490196,55844.529411764706
7.352941176470589,55214.882352941175,55773.117647058825
7.450980392156863,55137.62745098039,55701.705882352944
7.549019607843137,55060.37254901961,55630.294117647056
7.647058823529411,54983.117647058825,55558.882352941175
7.745098039215686,54905.86274509804,55487.470588235294
7.843137254901961,54828.60784313726,55416.05882352941
