concentration,Cal SET1,Cal SET2
2.235294117647059,13839.882352941177,14087.529411764706
2.2549019607843137,13825.70588235294,14068.156862745098
2.2745098039215685,13811.529411764706,14048.78431372549
2.2941176470588234,13797.35294117647,14029.411764705883
2.313725490196078,13783.176470588236,14010.039215686274
2.3333333333333335,13769.0,13990.666666666666
2.3529411764705883,13754.823529411764,13971.29411764706
2.372549019607843,13740.64705882353,13951.921568627451
2.392156862745098,13726.470588235294,13932.549019607843
2.411764705882353,13712.29411764706,13913.176470588236
2.431372549019608,13698.117647058823,13893.803921568628
2.450980392156863,13683.941176470587,13874.43137254902
2.4705882352941178,13669.764705882353,13855.058823529413
2.4901960784313726,13655.588235294117,13835.686274509804
2.5098039215686274,13641.411764705883,13816.313725490196
2.5294117647058822,13627.235294117647,13796.941176470587
2.549019607843137,13613.058823529413,13777.56862745098
