concentration,TP SET1,TP SET2
2.2549019607843137,45422.43137254902,45611.23529411765
2.2745098039215685,45373.1568627451,45584.17647058824
2.2941176470588234,45323.882352941175,45557.117647058825
2.313725490196078,45274.60784313725,45530.05882352941
2.3333333333333335,45225.333333333336,45503.0
2.3529411764705883,45176.05882352941,45475.94117647059
2.372549019607843,45126.78431372549,45448.882352941175
2.392156862745098,45077.509803921566,45421.82352941176
2.411764705882353,45028.23529411765,45394.76470588235
2.431372549019608,44978.96078431373,45367.705882352944
2.450980392156863,44929.686274509804,45340.64705882353
2.4705882352941178,44880.41176470588,45313.58823529412
2.4901960784313726,44831.13725490196,45286.529411764706
2.5098039215686274,44781.86274509804,45259.470588235294
2.5294117647058822,44732.58823529412,45232.41176470588
2.549019607843137,44683.313725490196,45205.35294117647
