concentration,Alb SET1,Alb SET2
2.235294117647059,42535.76470588235,42902.882352941175
2.2549019607843137,42427.74509803922,42796.705882352944
2.2745098039215685,42319.72549019608,42690.529411764706
2.2941176470588234,42211.705882352944,42584.35294117647
2.313725490196078,42103.686274509804,42478.17647058824
2.3333333333333335,41995.666666666664,42372.0
2.3529411764705883,41887.64705882353,42265.82352941176
2.372549019607843,41779.62745098039,42159.64705882353
2.392156862745098,41671.60784313725,42053.470588235294
2.411764705882353,41563.58823529412,41947.294117647056
2.431372549019608,41455.56862745098,41841.117647058825
2.450980392156863,41347.549019607846,41734.94117647059
2.4705882352941178,41239.529411764706,41628.76470588235
2.4901960784313726,41131.509803921566,41522.58823529412
2.5098039215686274,41023.490196078434,41416.41176470588
2.5294117647058822,40915.470588235294,41310.23529411765
2.549019607843137,40807.450980392154,41204.05882352941
